# Time (s),Q1 (%),T1 Setpoint (°C),T1 (°C),Q2 (%),T2 Setpoint (°C),T2 (°C)
1.032199999999999989e+02,5.712214275000005159e+01,5.000000000000000000e+01,4.705579999999999785e+01,6.880688133333340772e+01,4.000000000000000000e+01,3.738679999999999382e+01
1.042199999999999989e+02,5.756377275000004801e+01,5.000000000000000000e+01,4.705579999999999785e+01,6.924241466666674683e+01,4.000000000000000000e+01,3.738679999999999382e+01
1.052000000000000028e+02,5.504849205000006407e+01,5.000000000000000000e+01,4.737809999999999633e+01,6.966923733333341318e+01,4.000000000000000000e+01,3.738679999999999382e+01
1.062000000000000028e+02,5.544177705000006284e+01,5.000000000000000000e+01,4.737809999999999633e+01,6.682805400000003715e+01,4.000000000000000000e+01,3.770909999999999940e+01
1.072199999999999989e+02,5.289291585000007956e+01,5.000000000000000000e+01,4.770039999999999480e+01,6.721750700000004031e+01,4.000000000000000000e+01,3.770909999999999940e+01
1.080300000000000011e+02,5.317231725000008424e+01,5.000000000000000000e+01,4.770039999999999480e+01,6.752677850000003446e+01,4.000000000000000000e+01,3.770909999999999940e+01
1.092600000000000051e+02,5.063642910000010033e+01,5.000000000000000000e+01,4.802269999999999328e+01,6.470734150000005513e+01,4.000000000000000000e+01,3.803139999999999787e+01
1.101899999999999977e+02,5.091226245000009953e+01,5.000000000000000000e+01,4.802269999999999328e+01,6.501247450000005301e+01,4.000000000000000000e+01,3.803139999999999787e+01
1.112099999999999937e+02,5.121478935000009614e+01,5.000000000000000000e+01,4.802269999999999328e+01,6.534713650000006169e+01,4.000000000000000000e+01,3.803139999999999787e+01
1.120900000000000034e+02,4.853254935000005332e+01,5.000000000000000000e+01,4.834499999999999886e+01,6.236559383333340634e+01,4.000000000000000000e+01,3.835369999999999635e+01
1.131400000000000006e+02,4.879321185000004846e+01,5.000000000000000000e+01,4.834499999999999886e+01,6.265369633333340715e+01,4.000000000000000000e+01,3.835369999999999635e+01
1.142399999999999949e+02,4.611240735000006197e+01,5.000000000000000000e+01,4.866729999999999734e+01,6.295551800000006892e+01,4.000000000000000000e+01,3.835369999999999635e+01
1.152099999999999937e+02,4.630631520000006418e+01,5.000000000000000000e+01,4.866729999999999734e+01,6.322166983333340085e+01,4.000000000000000000e+01,3.835369999999999635e+01
1.161200000000000045e+02,4.648822875000006860e+01,5.000000000000000000e+01,4.866729999999999734e+01,6.019947650000008821e+01,4.000000000000000000e+01,3.867599999999999483e+01
1.171899999999999977e+02,4.670212710000006240e+01,5.000000000000000000e+01,4.866729999999999734e+01,6.043558983333342383e+01,4.000000000000000000e+01,3.867599999999999483e+01
1.182199999999999989e+02,4.395753390000007954e+01,5.000000000000000000e+01,4.898959999999999582e+01,6.066287650000008824e+01,4.000000000000000000e+01,3.867599999999999483e+01
1.190199999999999960e+02,4.407878190000008090e+01,5.000000000000000000e+01,4.898959999999999582e+01,6.083940983333341990e+01,4.000000000000000000e+01,3.867599999999999483e+01
1.202699999999999960e+02,4.426823190000008168e+01,5.000000000000000000e+01,4.898959999999999582e+01,5.782509733333336044e+01,4.000000000000000000e+01,3.899830000000000041e+01
1.212099999999999937e+02,4.146455400000009917e+01,5.000000000000000000e+01,4.931189999999999429e+01,5.798203033333335554e+01,4.000000000000000000e+01,3.899830000000000041e+01
1.221500000000000057e+02,4.156157610000009583e+01,5.000000000000000000e+01,4.931189999999999429e+01,5.813896333333335775e+01,4.000000000000000000e+01,3.899830000000000041e+01
1.232399999999999949e+02,4.167408045000009764e+01,5.000000000000000000e+01,4.931189999999999429e+01,5.503938766666670546e+01,4.000000000000000000e+01,3.932059999999999889e+01
