# Time (s), Heater (%), T1 (°C)
2.870099999999999909e+02,2.000000000000000000e+01,4.964500000000000313e+01
2.880000000000000000e+02,2.000000000000000000e+01,4.961200000000000188e+01
2.890000000000000000e+02,2.000000000000000000e+01,4.957999999999999829e+01
2.900099999999999909e+02,2.000000000000000000e+01,4.954800000000000182e+01
2.910000000000000000e+02,2.000000000000000000e+01,4.928999999999999915e+01
2.920000000000000000e+02,2.000000000000000000e+01,4.928999999999999915e+01
2.930000000000000000e+02,2.000000000000000000e+01,4.922599999999999909e+01
2.940000000000000000e+02,2.000000000000000000e+01,4.919299999999999784e+01
2.950099999999999909e+02,2.000000000000000000e+01,4.893599999999999994e+01
2.960099999999999909e+02,2.000000000000000000e+01,4.893599999999999994e+01
2.970000000000000000e+02,2.000000000000000000e+01,4.890299999999999869e+01
2.980000000000000000e+02,2.000000000000000000e+01,4.871000000000000085e+01
2.990000000000000000e+02,2.000000000000000000e+01,4.864600000000000080e+01
3.000000000000000000e+02,2.000000000000000000e+01,4.861299999999999955e+01
3.010099999999999909e+02,2.000000000000000000e+01,4.861299999999999955e+01
3.020000000000000000e+02,2.000000000000000000e+01,4.842000000000000171e+01
3.030000000000000000e+02,2.000000000000000000e+01,4.832300000000000040e+01
3.040000000000000000e+02,2.000000000000000000e+01,4.829099999999999682e+01
3.050099999999999909e+02,2.000000000000000000e+01,4.803300000000000125e+01
3.060099999999999909e+02,2.000000000000000000e+01,4.803300000000000125e+01
3.070000000000000000e+02,2.000000000000000000e+01,4.796900000000000119e+01
3.080000000000000000e+02,2.000000000000000000e+01,4.793699999999999761e+01
3.090000000000000000e+02,2.000000000000000000e+01,4.790400000000000347e+01
3.100000000000000000e+02,2.000000000000000000e+01,4.774300000000000210e+01
3.110000000000000000e+02,2.000000000000000000e+01,4.767900000000000205e+01
3.120099999999999909e+02,2.000000000000000000e+01,4.764600000000000080e+01
3.130000000000000000e+02,2.000000000000000000e+01,4.742099999999999937e+01
3.140000000000000000e+02,2.000000000000000000e+01,4.732399999999999807e+01
3.150099999999999909e+02,2.000000000000000000e+01,4.732399999999999807e+01
3.160099999999999909e+02,2.000000000000000000e+01,4.732399999999999807e+01
3.170099999999999909e+02,2.000000000000000000e+01,4.706600000000000250e+01
3.180000000000000000e+02,2.000000000000000000e+01,4.703399999999999892e+01
3.190099999999999909e+02,2.000000000000000000e+01,4.700200000000000244e+01
3.200099999999999909e+02,2.000000000000000000e+01,4.696999999999999886e+01
3.210099999999999909e+02,2.000000000000000000e+01,4.680899999999999750e+01
3.220000000000000000e+02,2.000000000000000000e+01,4.680899999999999750e+01
3.230099999999999909e+02,2.000000000000000000e+01,4.674399999999999977e+01
3.240000000000000000e+02,2.000000000000000000e+01,4.667999999999999972e+01
3.250000000000000000e+02,2.000000000000000000e+01,4.664699999999999847e+01
3.260099999999999909e+02,2.000000000000000000e+01,4.658299999999999841e+01
3.270000000000000000e+02,2.000000000000000000e+01,4.635699999999999932e+01
3.280000000000000000e+02,2.000000000000000000e+01,4.635699999999999932e+01
3.290000000000000000e+02,2.000000000000000000e+01,4.635699999999999932e+01
3.300099999999999909e+02,2.000000000000000000e+01,4.629299999999999926e+01
3.310099999999999909e+02,2.000000000000000000e+01,4.613199999999999790e+01
3.320000000000000000e+02,2.000000000000000000e+01,4.610000000000000142e+01
3.330000000000000000e+02,2.000000000000000000e+01,4.600300000000000011e+01
3.340099999999999909e+02,2.000000000000000000e+01,4.603499999999999659e+01
3.350099999999999909e+02,2.000000000000000000e+01,4.600300000000000011e+01
3.360099999999999909e+02,2.000000000000000000e+01,4.577700000000000102e+01
3.370099999999999909e+02,2.000000000000000000e+01,4.571300000000000097e+01
3.380000000000000000e+02,2.000000000000000000e+01,4.568099999999999739e+01
3.390000000000000000e+02,2.000000000000000000e+01,4.571300000000000097e+01
3.400000000000000000e+02,2.000000000000000000e+01,4.552000000000000313e+01
3.410000000000000000e+02,2.000000000000000000e+01,4.539099999999999824e+01
3.420000000000000000e+02,2.000000000000000000e+01,4.539099999999999824e+01
3.430000000000000000e+02,2.000000000000000000e+01,4.539099999999999824e+01
3.440099999999999909e+02,2.000000000000000000e+01,4.532600000000000051e+01
3.450000000000000000e+02,2.000000000000000000e+01,4.529399999999999693e+01
3.460099999999999909e+02,2.000000000000000000e+01,4.516499999999999915e+01
3.470099999999999909e+02,2.000000000000000000e+01,4.506799999999999784e+01
3.480099999999999909e+02,2.000000000000000000e+01,4.506799999999999784e+01
3.490099999999999909e+02,2.000000000000000000e+01,4.503600000000000136e+01
3.500000000000000000e+02,2.000000000000000000e+01,4.484300000000000352e+01
3.510000000000000000e+02,2.000000000000000000e+01,4.481099999999999994e+01
3.520000000000000000e+02,2.000000000000000000e+01,4.484300000000000352e+01
3.530000000000000000e+02,2.000000000000000000e+01,4.474600000000000222e+01
3.540000000000000000e+02,2.000000000000000000e+01,4.471399999999999864e+01
